D_station,LU1,LU2,LU3,LU4,LU5,LU6,LU7,LU8,LU9,LU10,LU11,LUNA,LU23,LU458,LU6710
1 Ave & E 15 St,.0062488570311181,.0713676166718803,.0628757435725952,.7206229089470538,.0057492996689435,.0001061628380397,.000376286051653,.1324326215924476,.0000787692134794,.0001417344127893,0,0,.13424335,.85880482,.00062418327
1 Ave & E 18 St,.0071976300155915,.0311152453224255,.1266290510163674,.6403426056049515,.0128292636821932,0,0,.1788304665246503,.000091766696636,.0029639711371846,0,0,.1577443,.83200234,.0029639711
1 Ave & E 30 St,.0031128903788121,.0221904314231982,.1717735528917392,.3566349439816193,.0643857103688274,0,0,.3812513409939163,.0006511299618874,0,0,0,.19396399,.80227202,0
1 Ave & E 44 St,.0009153926440795,.003781930060845,.2230182324030123,.2156594895496784,.4035620059164879,0,.0040119256260741,.1426077164841836,.0000298539562476,.0021498279987473,0,.0042636253606442,.22680016,.7618292,.0061617536
1 Ave & E 62 St,.0109202163357505,.0461905613452814,.4099348797689438,.3226240112984087,.037757928955173,.0210538175613595,.0052189835908356,.1327860846001905,.0046377011283294,.0087748983215424,0,.0001009170941851,.45612544,.49316803,.035047699
1 Ave & E 68 St,.0056866550166091,.0389017730896666,.223455192234072,.3736863227029846,.0192725271081977,.0068814292456256,0,.3289066363479475,.0002900782337129,.0029193860211841,0,0,.26235697,.72186548,.009800815
1 Ave & E 78 St,.0039750186497484,.1221541366171268,.4149226415297793,.3838921069167285,.009047505148899,.0001118004628863,0,.0568958486297214,.000529348969387,.0084715930757234,0,0,.53707677,.44983545,.0085833939
10 Ave & W 28 St,.0016140295512453,.009043750309795,.2182911062945523,.2092543439093702,.3528786067512114,.0672375571765207,.0255398868745522,.1108771825904512,.0037243827843172,.0015391537579846,0,0,.22733486,.67301011,.094316594
11 Ave & W 27 St,.0006681913226482,.003855473503098,.1016337825536554,.2974576559140116,.2808360910095086,.1014276248457207,.0690177933191609,.1394225914497141,.0010062750747887,.0046745210076938,0,0,.10548925,.71771634,.17511994
11 Ave & W 41 St,0,.0005376682878858,.1469295901977906,.4274463391609146,.0532485730869035,.0756087543119453,.0175092475073057,.2402914563447901,0,.0384283711024644,0,0,.14746726,.72098637,.13154638
11 Ave & W 59 St,0,.0015555909057087,.2016706575954251,.4224142708140191,.1586554892289721,.0042636406059534,.0273653638870949,.1825476632381548,.0009228271463671,.000509884397085,0,.0000946121812198,.20322625,.7636174,.032138888
12 Ave & W 40 St,0,0,.0933904621459383,.2499743877515601,.0010518377182695,.105355431742569,.0729816548983557,.4121756526916001,0,.0650705730517073,0,0,.093390465,.66320187,.24340767
2 Ave & E 31 St,.0048800086766012,.0427677002731765,.1978988128382137,.3429684737228125,.1398904913428569,.0209515134281147,0,.2450710561662377,.0005530307991259,.0048139445427704,0,.0002049682100904,.24066651,.72793001,.025765458
2 Ave & E 58 St,.009485766094122,.016434083537076,.3562886218521867,.3122043202165203,.2556586905897754,.0090666579738695,.0036193721888511,.0289650866201366,.0029705228947687,.0049195591731582,0,.0003873188595357,.37272272,.5968281,.01760559
21 St & 41 Ave,.0046843409497954,.0067687012436923,.255517704855703,.2816790680145281,.1132349007614239,.3037658963489676,.0036639062411409,.0086264020304636,.0004062261325471,.0200252807396117,0,.0016275726821264,.26228639,.40354037,.32745507
21 St & 43 Ave,.0066526420547695,.0227451788437262,.10841344191079,.3215548039283163,.1757168305175099,.3183537382744084,.0022452987554404,.0225507765191916,.0004070799637999,.0213063451465253,0,.0000538640855225,.13115862,.51982242,.34190539
21 St & Queens Plaza North,.0022688672989059,.0040895300658882,.207476191488257,.2746389411181385,.1157184199418195,.3531609584259358,.0031798040006424,.0132127521453151,.0037574121219149,.0224971233931827,0,0,.21156572,.40357012,.37883788
3 Ave & E 62 St,.0307986177487496,.015367875495582,.2530744798305273,.4107201197589439,.2277311138246861,.0108302480506011,.001932075292231,.0432709440212766,.0035483305847705,.0022729379601335,0,.0004532574324986,.26844236,.68172216,.015035261
3 Ave & Schermerhorn St,.0363391145893633,.0600547654621484,.0204998054868617,.3443909982941006,.2962302036928415,.0182128357820772,.0000514403574433,.2064483300128011,.0121790190282683,.0055490428252636,0,.000044444468831,.080554567,.84706956,.023813318
31 St & Thomson Ave,0,0,.0343117360651535,.009413226457458,.1663067613553746,.506981141718874,.0009066417816719,.281667782414953,0,.0004127102065149,0,0,.034311738,.45738778,.50830048
44 Dr & Jackson Ave,.013422467835186,.0255496276823281,.0815614486461297,.3635227397031241,.3029662686325585,.1661618241209203,.000316601197215,.0245379267779692,.0000679447513124,.0218483284612915,0,.0000448221919653,.10711107,.69102693,.18832676
45 Rd & 11 St,.0390476932997068,.1204867105980758,.1068609682386156,.0892727739762144,.1284020100578219,.3117126319373511,.1083699805050606,.0670854161582013,.0001438768715293,.0285002380371278,0,.0001177003202955,.22734767,.28476021,.44858286
46 Ave & 5 St,.0105520687079637,.0415202424785776,.4155866871297154,.2805465661591415,.0236284698578193,.1318784455818686,.0622930055336953,.0222715816255177,.0002765320873104,.0113700613708248,0,.0000763394675658,.45710692,.32644662,.20554151
47 Ave & 31 St,0,0,0,.0084959784279675,.1445062514147349,.5658423428379281,.0006764503841225,.2801780012136771,0,.0003009757215699,0,0,0,.43318024,.56681979
48 Ave & 5 St,.0101490605828221,.0418834475651841,.4405167593302659,.3654980868162066,.0344031585506135,.0740042657208589,0,.0297709771216769,.0001647574769939,.0036094868353783,0,0,.48240021,.42967221,.077613756
5 Ave & E 29 St,.0004161982636542,.0032121897726471,.0854769632352592,.1540403914212332,.7176165846696154,.0271244298461716,0,.0087731349570456,.0000340261039732,.0031033564629646,0,.0002027252674358,.088689156,.8804301,.030227786
5 Ave & E 63 St,.0280941351632686,.0166695520680724,.3146055520620749,.1469087712115157,.4635676081143307,0,0,.0283746786454467,0,.0012469432193165,0,.0005327595159744,.33127511,.63885105,.0012469433
5 Ave & E 73 St,.0695687172709455,.0404820484011249,.6045390112896817,.1612861360990339,.079211621382514,0,0,.0449124655567,0,0,0,0,.64502108,.28541023,0
5 Ave & E 78 St,.0679524437530108,.0264365620566116,.5725938733096947,.1448596885389603,.0809889684300858,0,0,.1071684639116369,0,0,0,0,.59903044,.33301711,0
6 Ave & Broome St,.0060660329950368,.0423627051603482,.1600313969586969,.184837231619401,.5491956341730997,.0394456820755946,0,.011811595778896,.000039608677786,.0059536883816802,0,.0002564241794606,.2023941,.74584448,.045399372
6 Ave & Canal St,.003751998194713,.0304623258413589,.1810364160867813,.2635433141861986,.4528867406548748,.0514218877105483,.0001690214935761,.0120727076366531,0,.0043953558692004,0,.0002602323260954,.21149874,.72850275,.055986267
6 Ave & W 33 St,0,.0005998492379633,.0285744798667756,.1430105379507811,.7882630568278418,.0282766971820906,0,.0084168115450216,1.18398378209e-06,.002857383405744,0,0,.02917433,.93969041,.03113408
8 Ave & W 31 St,.0001449519973027,.0108052610797018,.1156590496808457,.0786542545933963,.5948616598988461,.0904999239070402,0,.0952202405631736,0,.0141546582796936,0,0,.12646431,.76873618,.10465458
8 Ave & W 33 St,.0001438737970066,.0079131795095475,.1085966901605226,.0696478298889804,.6513880578292416,.1155807086145017,0,.032883624893226,0,.0138460353069737,0,0,.11650987,.75391954,.12942675
8 Ave & W 52 St,.0004701983182317,.0156012100673768,.0884038089349306,.2204995989816053,.6663669635835595,.0001995901681153,0,.0067139678745988,0,.0017446620715819,0,0,.10400502,.89358056,.0019442523
9 Ave & W 16 St,.0137005797820989,.109088767967092,.1398072072721315,.1881613659721608,.4752700822537254,.0175767449787898,.0022583585637024,.0535415383744531,.000595354835846,0,0,0,.24889597,.71697301,.019835103
9 Ave & W 18 St,.0136733592125199,.1233224797351177,.1357580443626829,.1966407145613915,.4467993777953246,.0158823394604122,.0023255850291701,.0609928945955279,.0006217619548873,.0039834432929659,0,0,.25908053,.70443296,.022191368
9 Ave & W 22 St,.0176614509908374,.1102863145443215,.3698837485747529,.167295326418901,.2387209335402873,.0255677749676387,.0067308809937271,.0544331649081073,.0060925487162129,.0033278563452138,0,0,.48017007,.46044943,.035626512
9 Ave & W 45 St,.0028224919741933,.1004901538385886,.0691779381828485,.3742797339736055,.2908872655362636,.013306558814899,.0696665065066997,.0696769387341021,.0000647533410127,.009627659097787,0,0,.16966809,.73484391,.092600726
9 St & 44 Rd,.0126019433713727,.0423754973343608,.0626398555576571,.0254154765906982,.0870307770623135,.543625392802241,.1610776826590053,.0252560826468824,.000214396079358,.0397628958961111,0,0,.10501535,.13770233,.74446595
Adelphi St & Myrtle Ave,.0836568410690405,.2541804692944743,.1733515034302968,.3556733315009911,.008041790359213,.0118132624107847,.0003550230497743,.1096979113404436,.0003409322626711,.0028889352823105,0,0,.42753199,.47341302,.015057221
Albany Ave & Fulton St,.1753620712222445,.2952317006031939,.111811190411245,.2061834121172337,.0281116143555557,.0335296686080379,.0009038416768331,.1420781963932261,.000407657974959,.0062031955189596,0,.0001774511185116,.40704289,.37637323,.040636707
Allen St & E Houston St,.0025755254081004,.108067508314261,.2098179973254953,.4119604749294228,.1140046611223993,.0292994008351254,0,.110731388987571,.0031483059941557,.0103947370834691,0,0,.31788552,.63669652,.039694138
Allen St & Hester St,.0031475110741647,.0378062090738129,.1592927581411846,.5061399761371453,.0959534939920011,.0596053791221686,.0094854076821786,.125130243634797,.0014944423188502,.001944578823697,0,0,.19709897,.72722369,.071035363
Allen St & Rivington St,.0032725333252397,.0789155239989466,.1255723613678563,.4826385957857005,.1541241950266725,.0373312555544701,.004569011060094,.1018529759629566,.0009742354788645,.0107493124391992,0,0,.20448789,.73861575,.05264958
Amsterdam Ave & W 73 St,.0092263694051101,.0996261637819867,.3544652170353829,.4368978635792684,.0536717283169272,0,0,.0432748211140443,0,.0028378367672806,0,0,.45409137,.53384441,.0028378367
Amsterdam Ave & W 82 St,.0113151248720069,.1000965742564498,.3764432815961902,.3575460914131985,.0343371962866029,.0052787878970119,0,.1087054895959064,0,.0062774540826335,0,0,.47653985,.50058877,.011556242
Atlantic Ave & Fort Greene Pl,.0475327233335626,.0802803847518446,.1006184720993827,.2830708785860058,.2823033968907935,.0416022905830363,0,.1420962230027393,.0201252334083136,.0022936846899181,0,.0000767126544035,.18089886,.70747048,.043895975
Atlantic Ave & Furman St,.0369028879690021,.1127785272209914,.0500002241644036,.2689628337778474,.0060361574823364,.0033671853044424,.2779327133968434,.1998567235517269,.0001061831385423,.044056563993864,0,0,.16277875,.47485572,.32535645
Avenue D & E 12 St,.0003016638833409,.1035454942090956,.6189151423157815,.207686570380212,.0042510384307394,.0164944797762674,0,.0434243892573858,.0053812217471775,0,0,0,.72246063,.255362,.016494479
Avenue D & E 3 St,.0002693682276981,.1095274637144761,.6536654796187357,.1541078166738046,.0052902997182902,.0018178806381117,.0001259003672937,.071027504039858,.0040706898177834,.0000975971839486,0,0,.76319295,.23042563,.0020413783
Avenue D & E 8 St,.003202200700359,.1623666612762185,.5498479194866697,.1809542241148684,.005355385257324,.0149184395251614,0,.0785873681835787,.0047678014558203,0,0,0,.71221459,.26489699,.014918439
Bank St & Hudson St,.0605132910694405,.2042978139923089,.3585047772039546,.2457343278398532,.0889778043009894,.0066356205545112,.0090858612320093,.0180220666190644,.0002164385198197,.0079764002272889,0,.0000355984407598,.56280261,.35273421,.023697883
Bank St & Washington St,.0467796718342697,.1781710155506758,.4442990827554433,.2213090330339674,.0337871689473128,.0074353850173417,.0234956411437734,.0350522444469707,.0002632665394212,.0093576296438123,0,.0000498610870116,.62247008,.29014844,.040288657
Banker St & Meserole Ave,.0836484035600203,.2769037111771714,.0295898822378627,.139241556754811,.1241885071516287,.2828683574374022,0,.0359291984572733,.0126001710774237,.0146910419962741,0,.0003391701501325,.30649358,.29935926,.29755941
Barclay St & Church St,.000504579933006,.0028500108150424,.0593337584974218,.1804746174303938,.7226994914420956,.0046392364396997,.0036950766692064,.0239693344280975,.0001911450787702,.0014800767276807,0,.0001626725385861,.062183768,.92714345,.00981439
Barrow St & Hudson St,.0302961562953913,.1287084464670579,.1441118870918182,.2499356570529017,.2783777288172252,.1047576953474966,.0006201874369579,.0481816662157212,.0020357022833994,.0129418842985755,0,.0000329886934552,.27282032,.57649505,.11831976
Bayard St & Baxter St,.0001768592624733,.0083005947187466,.0686565200542683,.2366394126543195,.3694080048860319,.0352403379819808,0,.2741978351640232,.0010210183477729,.0063594169303835,0,0,.076957114,.88024527,.041599754
Bedford Ave & Nassau Ave,.0744092125350467,.297173101015155,.0561353983648493,.3311386295087254,.0636720894431811,.1178396252129036,0,.026649195029285,.0295949745155524,.0033877743753015,0,0,.3533085,.42145991,.1212274
Bedford Ave & S 9 St,.0078476222320167,.2003217689039231,.291584397030694,.3517756997170952,.0352076408173191,.0432322142346915,.0037552732538826,.0655436960868819,.0000542795047104,.0006231287140751,0,.0000542795047104,.49190617,.45252705,.047610614
Berry St & N 8 St,.0127837687419032,.160821472306426,.2381018840249768,.364432231866329,.1061497660825957,.0853674658114967,.0005381830172505,.0127310182636251,.0172060527650007,.0014714607098634,0,.0003966964105328,.39892337,.48331302,.087377109
Bialystoker Pl & Delancey St,.0010654490991082,.0227451262986137,.7403137986227834,.1350343955474151,.0088159792811665,.0022747305576787,.0052693493387271,.0740488213519283,.0001997671659199,.0074721637166747,0,.0027604190199844,.7630589,.2178992,.015016244
Boerum St & Broadway,.0208153388527951,.2042193058373368,.4479743168839242,.1041618997302565,.0355616632451283,.0435131898184755,.0003689777839964,.1345320541611682,.0001229516107952,.0084382920004854,0,.0002920100756386,.65219361,.2742556,.052320458
Bond St & Fulton St,.0174179563256802,.0202721726704351,.028313617835283,.5013763093411043,.2958825582114567,.0116740037570501,0,.1008901144147874,.0003719024687986,.0238013649754046,0,0,.048585791,.89814895,.03547537
Bond St & Schermerhorn St,.0683180690815503,.0451676005713552,.0435784584690409,.4624245046705978,.2518011978260998,.0138609773955851,0,.0948169767058332,.0005083159686689,.0195238993112688,0,0,.088746056,.80904269,.033384878
Broad St & Bridge St,0,0,.0636544848757897,.1179701698718285,.7626783283457947,.0017221716707274,.0198239343821,.0103711317024499,.0190493278710854,.001768574719184,0,.0029618765610405,.063654482,.89101964,.023314681
Broadway & Battery Pl,0,0,.0672985115532199,.1794983483021418,.6951686445035709,.0021160746359964,.018586038690555,.0116646287102546,.0234063770911748,.0021730912014997,0,.000088285311587,.067298509,.88633162,.022875205
Broadway & Berry St,.0209315095300209,.2194605615676589,.2539577829043794,.3813439182491953,.0404283946615531,.0400897321595118,.0069610111443643,.0240501756644185,.0000558480379356,.0126652180430267,0,.0000558480379356,.47341835,.44582248,.05971596
Broadway & E 14 St,.0020917246305097,.0284611630188615,.2671423985075818,.2344910282004414,.3254623690579421,.0164081830033848,0,.1230577631244633,.0001295928522803,.0027557776045351,0,0,.29560357,.68301117,.019163961
Broadway & E 22 St,.0002892690112647,.0056761778713829,.1207542590403996,.1665917076877202,.6440801724254646,.0152714885433291,0,.0451350466908583,.0001543758707377,.002047502858843,0,0,.12643044,.85580695,.017318992
Broadway & W 24 St,0,.0044350473434935,.1242670724931032,.1813680852295669,.6248525783838774,.0357890795293997,0,.0240236217452993,.0000390988908697,.0052254163843902,0,0,.12870212,.8302443,.041014496
Broadway & W 29 St,0,.0028995769086542,.0756179949999225,.1894860262551592,.6627013885093019,.053091850446536,0,.0133806246162569,.0000338041979525,.0027887340662167,0,0,.078517571,.86556804,.055880584
Broadway & W 32 St,0,.0009356052927113,.0404501257677283,.1492822887827547,.7637450531519808,.030361401982633,0,.0109909504743044,1.28469082759e-06,.0042332898570599,0,0,.041385733,.92401826,.034594692
Broadway & W 36 St,0,0,.0137210064946093,.0993977304898355,.8539860708639122,.0202868957810471,.0028630481268249,.0083850627837399,1.07555460142e-06,.0013591099054296,0,0,.013721007,.96176887,.024509054
Broadway & W 37 St,0,0,.012803486885887,.078245227761772,.8683316009082289,.0253491178771905,.0027602288588426,.009007894119547,.0021921427423266,.0013103008462055,0,0,.012803487,.9555847,.029419648
Broadway & W 39 St,0,.0002055348102721,.0062655781566463,.0533650867933368,.8797808607711891,.0456484675000991,.0029133052021201,.0095074525123352,.0023137142540013,0,0,0,.0064711128,.94265342,.048561774
Broadway & W 41 St,0,0,.0042898249784435,.0359933205916204,.9028550788891766,.0140647737889515,.0333991922269262,.0047598544146201,.0023576327597331,.0022803223505286,0,0,.004289825,.94360822,.049744289
Broadway & W 49 St,.0001148611854412,.004343079529067,.036931851277519,.096182194120892,.8491622194154332,.0000581575622487,0,.0069057561610804,.0000545227146082,.00624554060989,0,1.81742382027e-06,.041274931,.95225018,.0063036983
Broadway & W 51 St,.0000521524982509,.0022114330812824,.0386717126437464,.1200540647565201,.8304488014996517,.0002030771478367,0,.0039456039413916,.0000501466329336,.0043613362439553,0,1.67155443112e-06,.040883146,.95444846,.0045644133
Broadway & W 53 St,.0000572183591781,.0025466938030848,.0772940440291239,.1656624997457726,.7456697485049549,.0001641176590656,0,.0080991853847879,0,.0005064925140322,0,0,.079840735,.91943145,.00067061017
Broadway & W 55 St,.0001598305063219,.003443935984081,.122700457596439,.311042686998562,.5530761827144426,.0002001011753043,0,.0093768050248493,0,0,0,0,.12614439,.8734957,.00020010117
Broadway & W 58 St,.0000639440333661,.0034884110092501,.1670893083728288,.4560259669093147,.3426770134370173,.0002624931901804,0,.0303928630480425,0,0,0,0,.17057772,.82909584,.00026249318
Broadway & W 60 St,0,.0034314971647973,.2231171800181663,.5002568847541918,.1777602370169667,0,0,.0930979402469569,.002336260798921,0,0,0,.22654867,.77111506,0
Broadway & Whipple St,.0185424172558693,.0510848603223748,.4733269517470154,.1333288632303732,.0715028504855299,.0722797880460469,.0002450140116219,.1767526404000424,.0006988510339124,.0022377634672139,0,0,.5244118,.38158435,.074762568
