Name,Ct_SubEntrance,Subwaydummy
1 Ave & E 15 St,4,1
1 Ave & E 18 St,4,1
2 Ave & E 58 St,7,1
21 St & 41 Ave,5,1
21 St & 43 Ave,3,1
21 St & Queens Plaza North,5,1
3 Ave & E 62 St,16,1
3 Ave & Schermerhorn St,16,1
31 St & Thomson Ave,6,1
44 Dr & Jackson Ave,12,1
45 Rd & 11 St,9,1
48 Ave & 5 St,6,1
5 Ave & E 29 St,16,1
5 Ave & E 63 St,7,1
6 Ave & Broome St,13,1
6 Ave & Canal St,21,1
6 Ave & W 33 St,29,1
8 Ave & W 31 St,25,1
8 Ave & W 33 St,26,1
8 Ave & W 52 St,29,1
9 Ave & W 16 St,10,1
9 Ave & W 18 St,6,1
9 Ave & W 22 St,5,1
9 Ave & W 45 St,4,1
Albany Ave & Fulton St,4,1
Allen St & E Houston St,5,1
Allen St & Hester St,6,1
Allen St & Rivington St,12,1
Amsterdam Ave & W 73 St,4,1
Amsterdam Ave & W 82 St,7,1
Atlantic Ave & Fort Greene Pl,6,1
Bank St & Hudson St,3,1
Barclay St & Church St,43,1
Barrow St & Hudson St,5,1
Bayard St & Baxter St,9,1
Bedford Ave & Nassau Ave,6,1
Berry St & N 8 St,4,1
Boerum St & Broadway,8,1
Bond St & Fulton St,21,1
Bond St & Schermerhorn St,13,1
Broad St & Bridge St,36,1
Broadway & Battery Pl,43,1
Broadway & E 14 St,22,1
Broadway & E 22 St,20,1
Broadway & W 24 St,28,1
Broadway & W 29 St,13,1
Broadway & W 32 St,28,1
Broadway & W 36 St,29,1
Broadway & W 37 St,37,1
Broadway & W 39 St,33,1
Broadway & W 41 St,28,1
Broadway & W 49 St,38,1
Broadway & W 51 St,35,1
Broadway & W 53 St,28,1
Broadway & W 55 St,33,1
Broadway & W 58 St,26,1
Broadway & W 60 St,18,1
Broadway & Whipple St,6,1
Bus Slip & State St,16,1
Bushwick Ave & Powers St,8,1
Cadman Plaza E & Red Cross Pl,4,1
Cadman Plaza E & Tillary St,15,1
Cadman Plaza W & Pierrepont St,12,1
Cadman Plaza West & Montague St,20,1
Cambridge Pl & Gates Ave,5,1
Canal St & Rutgers St,4,1
Carmine St & 6 Ave,18,1
Central Park S & 6 Ave,19,1
Central Park West & W 68 St,3,1
Central Park West & W 72 St,3,1
Central Park West & W 76 St,4,1
Central Park West & W 85 St,7,1
Centre St & Chambers St,24,1
Centre St & Worth St,16,1
Christopher St & Greenwich St,5,1
Clark St & Henry St,5,1
Clermont Ave & Lafayette Ave,13,1
Cleveland Pl & Spring St,18,1
Cliff St & Fulton St,14,1
Clinton St & Grand St,8,1
Clinton St & Joralemon St,12,1
Clinton St & Tillary St,15,1
Columbia Heights & Cranberry St,1,1
Columbus Ave & W 72 St,8,1
Concord St & Bridge St,1,1
Cumberland St & Lafayette Ave,15,1
DeKalb Ave & Hudson Ave,16,1
DeKalb Ave & S Portland Ave,7,1
DeKalb Ave & Skillman St,4,1
DeKalb Ave & Vanderbilt Ave,8,1
Dean St & 4 Ave,5,1
Devoe St & Leonard St,10,1
Division Ave & Hooper St,14,1
Division Ave & Marcy Ave,10,1
Driggs Ave & Lorimer St,4,1
Duane St & Greenwich St,9,1
Duffield St & Willoughby St,30,1
E 11 St & 1 Ave,4,1
E 11 St & 2 Ave,5,1
E 11 St & Broadway,20,1
E 12 St & 3 Ave,16,1
E 13 St & Avenue A,4,1
E 15 St & 3 Ave,16,1
E 16 St & 5 Ave,11,1
E 16 St & Irving Pl,16,1
E 17 St & Broadway,15,1
E 19 St & 3 Ave,4,1
E 2 St & 2 Ave,10,1
E 20 St & Park Ave,25,1
E 24 St & Park Ave S,24,1
E 3 St & 1 Ave,4,1
