"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender","group.id"
"90",489,2016-05-01 00:09:36,2016-05-01 00:17:46,79,"Franklin St & W Broadway",40.71911552,-74.00666661,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,22046,"Subscriber",1973,1,1
"171",789,2016-05-01 00:18:33,2016-05-01 00:31:43,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,229,"Great Jones St",40.72743423,-73.99379025,24179,"Subscriber",1965,1,2
"203",570,2016-05-01 00:23:09,2016-05-01 00:32:39,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,23276,"Subscriber",1965,1,3
"443",660,2016-05-01 01:01:24,2016-05-01 01:12:25,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,2003,"1 Ave & E 18 St",40.7338121919663,-73.9805442094803,18716,"Subscriber",1967,1,4
"500",399,2016-05-01 01:13:14,2016-05-01 01:19:54,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,3244,"University Pl & E 8 St",40.7314372408523,-73.9949034154415,16798,"Subscriber",1993,1,5
"389",882,2016-05-01 00:52:40,2016-05-01 01:07:22,127,"Barrow St & Hudson St",40.73172428,-74.00674436,266,"Avenue D & E 8 St",40.72368361,-73.97574813,21459,"Subscriber",1986,2,6
"234",237,2016-05-01 00:26:35,2016-05-01 00:30:32,127,"Barrow St & Hudson St",40.73172428,-74.00674436,405,"Washington St & Gansevoort St",40.739323,-74.008119,23769,"Subscriber",1984,1,7
"236",644,2016-05-01 00:27:07,2016-05-01 00:37:52,127,"Barrow St & Hudson St",40.73172428,-74.00674436,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,24810,"Subscriber",1976,1,8
"26",800,2016-05-01 00:02:19,2016-05-01 00:15:40,127,"Barrow St & Hudson St",40.73172428,-74.00674436,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,23960,"Customer",NA,0,9
"487",255,2016-05-01 01:10:20,2016-05-01 01:14:36,137,"E 56 St & Madison Ave",40.761628,-73.972924,385,"E 55 St & 2 Ave",40.75797322,-73.96603308,15487,"Subscriber",1951,1,10
"180",575,2016-05-01 00:19:42,2016-05-01 00:29:18,146,"Hudson St & Reade St",40.71625008,-74.0091059,127,"Barrow St & Hudson St",40.73172428,-74.00674436,20532,"Subscriber",1990,1,11
"432",170,2016-05-01 00:59:27,2016-05-01 01:02:18,147,"Greenwich St & Warren St",40.71542197,-74.01121978,320,"Leonard St & Church St",40.717571,-74.005549,22463,"Subscriber",1985,1,12
"296",235,2016-05-01 00:38:37,2016-05-01 00:42:33,150,"E 2 St & Avenue C",40.7208736,-73.98085795,428,"E 3 St & 1 Ave",40.72467721,-73.98783413,15305,"Subscriber",1980,1,13
"493",472,2016-05-01 01:11:59,2016-05-01 01:19:52,150,"E 2 St & Avenue C",40.7208736,-73.98085795,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,16594,"Subscriber",1990,1,14
"329",253,2016-05-01 00:44:05,2016-05-01 00:48:19,151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,128,"MacDougal St & Prince St",40.72710258,-74.00297088,18096,"Subscriber",1997,1,15
"7",362,2016-05-01 00:00:34,2016-05-01 00:06:37,151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,229,"Great Jones St",40.72743423,-73.99379025,15681,"Subscriber",1986,1,16
"79",953,2016-05-01 00:08:43,2016-05-01 00:24:36,151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,260,"Broad St & Bridge St",40.70365182,-74.01167797,15986,"Customer",NA,0,17
"82",938,2016-05-01 00:08:57,2016-05-01 00:24:36,151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,260,"Broad St & Bridge St",40.70365182,-74.01167797,18240,"Customer",NA,0,17
